subject_idx,channel,load_case,rot_mag_deg,trans_mag_mm,lr_rot_asym_deg,lr_trans_asym_mm,nut_abs_deg,ap_rot_abs_deg,cc_rot_abs_deg,ml_trans_abs_mm,ml_trans_signed_mm,ap_trans_abs_mm,ap_trans_signed_mm,cc_trans_abs_mm,cc_trans_signed_mm
219,full,LAB_phase2,0.9708796856107187,0.34557394388564266,0.11308197084145544,0.015274775396015627,0.3771493632126301,0.6363926897693507,0.6267328035246496,0.192929602772604,-0.004541160622852203,0.040014375758302384,0.02094452640797513,0.2830422968100439,-0.2830422968100439
219,full,LAB_phase3,1.4327890461527513,0.6505417482406535,0.3058431804962871,0.10699542932266592,1.2593331689923428,0.40937615085754164,0.545601588157127,0.11668440161095014,0.014005640334864344,0.5018451040590756,0.5018451040590756,0.3970827170566269,-0.3970827170566269
219,shape_only,SP2leg,1.600477615237109,1.5723696966496723,0.2521213506032729,0.2997559439687969,1.4517544198634336,0.5130676510263181,0.14931926463618375,0.07702173850226941,0.07702173850226941,0.7167297837200082,0.7167297837200082,1.3857111642446553,-1.3857111642446553
219,shape_only,SP1leg,4.089621308570574,2.949039198859027,1.4660476126574533,2.3157936695909953,1.5260325634408793,3.384447478196334,1.5314407378110018,0.5736947680983986,-0.5736947680983986,0.7292442183223139,0.7292442183223139,2.685495572451523,-1.350785326721138
219,shape_only,LAB_phase1,0.46032529680294737,0.24064949920349854,0.14059877182436809,0.12332597966319678,0.037210666329622485,0.29680300607285304,0.3459118240002097,0.11248210037570426,-0.012879802152349393,0.01862375246939816,-0.01862375246939816,0.2110825973057805,-0.2110825973057805
219,shape_only,LAB_phase2,1.0267962274349984,0.3895649113283454,0.10769525540983316,0.0032880377028788876,0.4091666815067925,0.7069950557096925,0.6201813947593742,0.21081471800742857,-0.001428884911203701,0.04553472730472146,0.0303645471479592,0.32298816522576645,-0.32298816522576645
219,shape_only,LAB_phase3,1.497216969033577,0.6333364359521578,0.3043377744822977,0.10729803503707913,1.329515150404526,0.42673312662032803,0.5387799460895399,0.11931153449561377,0.01324943388071468,0.4886096213674878,0.4886096213674878,0.3848303643617908,-0.3848303643617908
219,material_only,SP2leg,0.8666865061543609,0.9627896741842831,0.03509037592947195,0.04836819773142742,0.8206340061427894,0.14127697377050227,0.23043236301903747,0.0626054573956931,0.027240615799462544,0.2710353278807821,0.2710353278807821,0.92099323116358,-0.92099323116358
219,material_only,SP1leg,1.8888293934714575,1.5698708470610832,1.060543734360736,1.4360242784250201,0.8887862960841422,1.4014307844091554,0.7417176607033602,0.14477589993672257,-0.14477589993672257,0.44146327280462233,0.25625828825921965,1.3550606913111223,-0.9245711155729015
219,material_only,LAB_phase1,0.17126424804510265,0.11829671583486998,0.03894093255211581,0.05041785138989768,0.03926428538652671,0.044449417678413566,0.15842298429212365,0.05774344723653062,0.007795208798252948,0.06287525289475819,0.06287525289475819,0.07700178979665363,-0.07700178979665363
