load_case,metric,var_full,identity_r2,rmse,mae,var_shape_only,var_material_only,shape_over_full_pct,shape_over_full_ci95_low,shape_over_full_ci95_high,material_over_full_pct,material_over_full_ci95_low,material_over_full_ci95_high
LAB_phase1,rot_mag_deg,0.0032830948150011498,0.8776583974882335,0.020005355883554465,0.01487935596849109,0.003959788985290661,0.00019004792870622563,120.61147205367186,110.68618357850625,129.99778602912986,5.7886823078595455,4.458484370335866,7.465878980327726
LAB_phase1,trans_mag_mm,0.002275894319260893,0.9457072742535537,0.011095946532985207,0.008005174174964859,0.0024449046273628174,4.8099553592162564e-05,107.42610527525774,101.53614137529877,113.1985309439776,2.113435284982086,1.640562171601083,2.6981234911748335
LAB_phase1,ap_trans_abs_mm,0.0007654535984969962,0.979517046432731,0.003952512129363072,0.0024929935811369036,0.0007706264636155455,2.0701632126038688e-05,100.67579081589092,95.88654412837694,105.4820059677724,2.7044921033341938,2.060784388700575,3.5273598670283426
LAB_phase1,ml_trans_abs_mm,0.0005047216875880843,0.9471739545139699,0.0051542742195013706,0.0035005873568474846,0.0005517167971594414,7.093565160395446e-06,109.31109376257098,99.08286588324682,118.2807572409779,1.405440926125742,0.9650900061545566,1.9805919636307452
LAB_phase1,cc_trans_abs_mm,0.0019998778622201136,0.9102475688603693,0.013373415368011714,0.009862720130964295,0.002156135545835036,0.00011473578674467449,107.81336133404952,100.41813100363036,115.6102293465133,5.73713969798653,4.496308337605919,7.151099660154425
LAB_phase2,rot_mag_deg,0.01321020061634588,0.9835269359003265,0.014725138464955063,0.009263470096048965,0.013601982182032988,1.9202947825511596e-05,102.9657503096685,100.20494565488747,105.67834540715556,0.1453645435312351,0.08933130543642546,0.22611398680664951
LAB_phase2,trans_mag_mm,0.008047520912589428,0.9841990888816977,0.011256143176047893,0.006973101611454796,0.00806008494477565,1.0132954644530072e-05,100.15612301381618,97.41191005803002,102.959935127793,0.1259139895949599,0.0977844259004282,0.16411933243781154
LAB_phase2,ap_trans_abs_mm,0.01289519185348456,0.9965964701430721,0.006612964219635311,0.004829058321339069,0.013050874491238061,1.1428238137695017e-05,101.20729214053091,99.16502160805793,103.14850070036253,0.08862402566431658,0.06886790196940513,0.11532234507401701
LAB_phase2,ml_trans_abs_mm,0.0010883563183814826,0.954680856697339,0.007010417515484646,0.00457269678475424,0.0010495330572102913,1.1946832464529854e-05,96.43285378919596,92.57026878575876,100.44606861431892,1.0976949609936788,0.7423846229766975,1.6062688009066974
LAB_phase2,cc_trans_abs_mm,0.003428197135300096,0.9509629831287383,0.01294232798644131,0.007927055352941404,0.0035787585321436816,1.9460118107320046e-05,104.39185352829502,98.59930521878366,111.08479361549182,0.5676487477029688,0.3471456012250065,0.8726735565012403
LAB_phase3,rot_mag_deg,0.06095553310384335,0.9973084543354553,0.012785712354848565,0.007696202994995758,0.062295113061932056,1.8403251124622294e-05,102.19763471809296,100.79666449476979,103.5798860728256,0.03019127253512928,0.015739262815003915,0.05158395683527097
LAB_phase3,trans_mag_mm,0.03163678890196321,0.9987182071114633,0.006356566778286928,0.004365198054713355,0.031459030563334704,1.6249004192026195e-05,99.43812774684767,98.6226555905058,100.24342549812185,0.05136110444830217,0.03863122741271774,0.0686156977028631
LAB_phase3,ap_trans_abs_mm,0.031039386611267154,0.9984126172738939,0.007006721839328842,0.004723271087400199,0.03108732005509666,2.0421936794343514e-05,100.15442780628955,99.11630855779603,101.13299750019398,0.06579362230995392,0.0472754755828747,0.09263589963979567
LAB_phase3,ml_trans_abs_mm,0.002722580758253395,0.9984612985713519,0.0020430784854355544,0.0012856635891163501,0.0026768567124802263,8.419845998329341e-07,98.32056236956211,95.49119156205374,101.4480706252109,0.03092597335379277,0.017358982244828663,0.060332728303179935
LAB_phase3,cc_trans_abs_mm,0.010106839001688342,0.9965770527127322,0.005871178251461177,0.004093012973037448,0.010002477417321479,8.079451798646695e-06,98.96741617879309,97.72790135951638,100.14054066573406,0.07994044228167706,0.06139128176140673,0.10291821601750227
